group,run_id,period,breach_rate,coverage_error,cvar,rmse,mae,pinball,brier,kupiec_LR,kupiec_p,christoffersen_ind_LR,christoffersen_ind_p,christoffersen_cc_LR,christoffersen_cc_p,model,cfg_seq_length,cfg_z_window,cfg_use_cls_token,cfg_zscore,cfg_layers,cfg_head_size,cfg_num_heads,cfg_ff_dim,cfg_dropout,cfg_attn_dropout,cfg_calibration,cfg_refit,cfg_timeframe,cfg_use_returns,cfg_use_spx_close,cfg_data_start_year,cfg_end_date
base,run_20250905_120706_4898a8c3,1987,0.0,-0.05,,0.4298694133758545,0.4267067909240722,0.0213353373110294,0.0025,25.95440690950059,3.4957650949621474e-07,-0.0,1.0,25.85182037132549,2.434156700453849e-06,Transformer,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1987,0.0632411067193675,0.0132411067193675,-0.0343704521656036,0.0370405501290045,0.0261941433207647,0.002271025783108,0.0594169960474308,0.8647190070266422,0.3524214717290108,10.376310057693816,0.0012764254305101,11.269368740349003,0.0035718044233283,GARCH,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1987,0.1343873517786561,0.0843873517786561,-0.0299361981451511,0.0254798587411642,0.019288919866085,0.0028783492743968,0.1234486166007905,26.48710958081963,2.6530254639365845e-07,2.9588614856534092,0.0854080598600235,29.632635384481297,3.6758263286309315e-07,LSTM,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1998,0.0,-0.05,,0.5451470017433167,0.4846153259277344,0.0242307651787996,0.0025,25.851820320925487,3.686568671972143e-07,-0.0,1.0,25.74923378255039,2.562270211004052e-06,Transformer,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1998,0.0555555555555555,0.0055555555555555,-0.0256571322679519,0.02458630405709,0.0207005669193604,0.0015512950558875,0.0525,0.1582975790776574,0.6907287550167276,1.6549717164641156,0.1982836024522503,1.8252335987987731,0.4014722758549073,GARCH,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1998,0.0,-0.05,,0.4228393733501434,0.3057657182216644,0.0152882868424057,0.0025,25.851820320925487,3.686568671972143e-07,-0.0,1.0,25.74923378255039,2.562270211004052e-06,LSTM,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,2001,0.2782258064516129,0.2282258064516129,-0.0024080285802483,0.2820638418197632,0.238208070397377,0.0429346710443496,0.2529032258064516,138.5042111687748,5.653538206327084e-32,252.578909913711,7.115826715249419e-57,391.6341797103131,9.072321112261745e-86,Transformer,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,2001,0.0685483870967741,0.0185483870967741,-0.025322625413537,0.0255022931051223,0.0214906957368961,0.0014784979931711,0.0641935483870967,1.6179771690328366,0.203374073307154,0.7002532229904875,0.4026986207372698,1.7431710622874736,0.4182878148434221,GARCH,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,2001,0.0,-0.05,,0.5868567228317261,0.4835456311702728,0.0241772793233394,0.0025,25.44147396662508,4.560084953475983e-07,-0.0,1.0,25.338887427449983,3.145795641229335e-06,LSTM,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,2008,0.0513833992094861,0.0013833992094861,-0.0645905584096908,0.0513604432344436,0.0458144433796405,0.0029913366306573,0.0487450592885375,0.0101056204585671,0.9199261746376312,2.0173253998263587,0.1555128511837158,2.030560240983987,0.362300927702623,Transformer,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
