group,run_id,period,feature,mean,std,p05,p50,p95,num_obs,frac_nan,cfg_seq_length,cfg_z_window,cfg_use_cls_token,cfg_zscore,cfg_layers,cfg_head_size,cfg_num_heads,cfg_ff_dim,cfg_dropout,cfg_attn_dropout,cfg_calibration,cfg_refit,cfg_timeframe,cfg_use_returns,cfg_use_spx_close,cfg_data_start_year,cfg_end_date
base,run_20250905_120706_4898a8c3,1987,returns,-0.0392058857354837,1.1620793261069822,-2.127890843200566,0.0306902162097771,1.7315297932148488,253,0.0,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1987,pce_price_index,1.6278399404102477,0.4285186880355908,1.1694558094884009,1.5211928827828054,2.403730111883156,253,0.0,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1987,unemployment_rate,-1.2920986899396611,1.080531552679252,-2.9807981265212304,-1.2829736820102011,0.2121904224141967,253,0.0,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1987,nonfarm_payrolls,1.6463649694784794,0.4281556586934004,1.1689965101424165,1.5328028696955311,2.4671964317461637,253,0.0,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1987,industrial_production,1.5599241742680146,0.5806988691362979,0.5201803328124338,1.4697229088253048,2.63278975334723,253,0.0,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1987,capacity_utilization,1.500292930719923,0.7074719672364749,0.0642254310188781,1.433557290703392,2.7096489438846327,253,0.0,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1987,housing_starts,-0.2411368587783691,1.594466739419537,-2.258852815216004,-0.6766102809910466,2.5667545941667615,253,0.0,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1987,building_permits,-0.7211723268604578,1.5147085350919072,-2.978153433360568,-0.5526212055393676,1.8846933721528905,253,0.0,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1987,consumer_confidence,0.0107544958966236,1.582916757301209,-2.465872143441296,-0.1435402590926691,2.214075278437778,253,0.0,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
base,run_20250905_120706_4898a8c3,1987,fed_funds,0.629745631357394,1.419000246881762,-1.4583872137150486,0.6294138182586856,3.0717317153292054,253,0.0,30,63,True,True,4,16,4,128,0.1,0.1,none,Y,daily,True,False,1950,2024-12-31
