feature,pinball_degradation
unemployment_rate,5.6932215e-05
nonfarm_payrolls,3.198115e-05
industrial_production,1.7106999e-05
durable_orders,1.4216639e-05
consumer_confidence,6.581191e-06
housing_starts,2.1820888e-06
pce_price_index,1.6530976e-06
t10y3m_spread,1.5157275e-06
retail_sales,-2.8996728e-06
t10y2y_spread,-5.2838586e-06
building_permits,-6.2412582e-06
returns,-1.304131e-05
corp_bond_spread,-3.4914818e-05
hy_ccc_spread,-4.8163347e-05
capacity_utilization,-5.2918214e-05
fed_funds,-6.8304595e-05
epu_index,-8.018734e-05
