feature,pinball_degradation
t10y3m_spread,0.00016187702
housing_starts,8.341146e-05
consumer_confidence,6.968912e-05
epu_index,3.716012e-05
fed_funds,2.7737231e-05
hy_ccc_spread,2.6822672e-05
building_permits,2.4181209e-05
industrial_production,2.1434971e-05
t10y2y_spread,1.8882216e-05
capacity_utilization,1.6051927e-05
unemployment_rate,1.4189864e-05
durable_orders,1.0819873e-05
pce_price_index,9.9878525e-06
nonfarm_payrolls,4.7707e-07
corp_bond_spread,-6.8731606e-07
retail_sales,-1.359731e-06
returns,-3.354391e-06
