feature,pinball_degradation
nonfarm_payrolls,0.00026358478
corp_bond_spread,0.00013076165
industrial_production,0.00012363028
consumer_confidence,7.000938e-05
returns,2.961466e-05
pce_price_index,1.1642929e-05
epu_index,4.0822197e-06
capacity_utilization,2.5331974e-07
durable_orders,6.519258e-08
t10y2y_spread,-2.2966415e-06
fed_funds,-8.2550105e-06
hy_ccc_spread,-1.5242724e-05
unemployment_rate,-1.5486032e-05
building_permits,-1.8042978e-05
retail_sales,-1.8732622e-05
housing_starts,-2.6405323e-05
t10y3m_spread,-3.1572534e-05
