feature,pinball_degradation
nonfarm_payrolls,0.00035183108
corp_bond_spread,0.0002174615
returns,8.714618e-05
t10y2y_spread,2.9699644e-05
consumer_confidence,2.4079578e-05
epu_index,1.9591767e-05
capacity_utilization,1.6135164e-07
industrial_production,-1.6480917e-05
fed_funds,-3.297394e-05
retail_sales,-6.043748e-05
pce_price_index,-6.095483e-05
building_permits,-6.138091e-05
unemployment_rate,-8.418737e-05
durable_orders,-8.4551284e-05
hy_ccc_spread,-0.000119377626
housing_starts,-0.00013296353
t10y3m_spread,-0.000133503
