feature,pinball_degradation
nonfarm_payrolls,5.7333382e-05
corp_bond_spread,1.848815e-05
pce_price_index,1.5394064e-05
returns,1.1658063e-05
capacity_utilization,3.9259903e-06
industrial_production,2.5306363e-06
fed_funds,1.7636921e-06
hy_ccc_spread,-2.8822105e-06
unemployment_rate,-4.2200554e-06
consumer_confidence,-7.657101e-06
building_permits,-9.013573e-06
retail_sales,-9.476906e-06
t10y2y_spread,-1.8371502e-05
t10y3m_spread,-1.9389903e-05
epu_index,-2.165744e-05
durable_orders,-3.05071e-05
housing_starts,-8.7422784e-05
