feature,pinball_degradation
industrial_production,1.6815029e-05
nonfarm_payrolls,8.768402e-06
t10y2y_spread,8.393545e-06
capacity_utilization,7.5483695e-06
unemployment_rate,5.8212318e-06
epu_index,2.9597431e-06
returns,2.385117e-06
durable_orders,1.5133992e-06
retail_sales,-1.040753e-06
consumer_confidence,-2.1066517e-06
building_permits,-1.4453195e-05
fed_funds,-1.5342608e-05
t10y3m_spread,-2.1260232e-05
corp_bond_spread,-2.6135705e-05
pce_price_index,-2.8372742e-05
housing_starts,-7.5683e-05
hy_ccc_spread,-0.000117523596
