feature,pinball_degradation
epu_index,8.211029e-05
housing_starts,5.863956e-05
pce_price_index,4.7828304e-05
nonfarm_payrolls,3.084936e-05
industrial_production,2.5501009e-05
fed_funds,2.1101441e-05
consumer_confidence,1.532049e-05
returns,1.2537232e-05
durable_orders,5.169539e-06
building_permits,-6.3399784e-07
unemployment_rate,-1.4968682e-06
retail_sales,-8.566538e-06
t10y3m_spread,-8.942792e-06
capacity_utilization,-1.0527903e-05
t10y2y_spread,-1.6504666e-05
hy_ccc_spread,-2.2512628e-05
corp_bond_spread,-3.58338e-05
