feature,pinball_degradation
hy_ccc_spread,7.86772e-05
nonfarm_payrolls,7.011788e-05
t10y3m_spread,3.115693e-05
building_permits,2.9836781e-05
capacity_utilization,9.355601e-06
t10y2y_spread,5.8533624e-07
returns,-6.8764202e-06
corp_bond_spread,-1.0564458e-05
retail_sales,-1.0795426e-05
fed_funds,-1.0837801e-05
durable_orders,-1.0964461e-05
housing_starts,-1.5435275e-05
pce_price_index,-2.1270476e-05
industrial_production,-3.0401628e-05
unemployment_rate,-3.780378e-05
epu_index,-4.1033607e-05
consumer_confidence,-0.000100954436
