feature,pinball_degradation
epu_index,0.00024037901
t10y3m_spread,0.00012662262
housing_starts,5.9275888e-05
unemployment_rate,4.830933e-05
nonfarm_payrolls,1.9255094e-05
returns,1.2150733e-05
building_permits,1.7434359e-06
fed_funds,-2.1388056e-05
hy_ccc_spread,-2.5293557e-05
corp_bond_spread,-5.3701224e-05
durable_orders,-0.00011294242
capacity_utilization,-0.00014496874
industrial_production,-0.0002652686
retail_sales,-0.00038831122
t10y2y_spread,-0.00046906155
pce_price_index,-0.0007119663
consumer_confidence,-0.00072317314
