feature,pinball_degradation
industrial_production,0.00034857308
capacity_utilization,0.00032266602
consumer_confidence,0.00013033953
t10y2y_spread,9.048497e-05
fed_funds,8.678017e-05
nonfarm_payrolls,8.355593e-05
building_permits,6.738119e-05
hy_ccc_spread,4.6157744e-05
pce_price_index,3.238814e-05
durable_orders,2.8010923e-05
returns,2.4945475e-05
t10y3m_spread,2.154475e-05
housing_starts,2.1296088e-05
corp_bond_spread,1.7508864e-05
unemployment_rate,9.459443e-06
epu_index,8.862931e-06
retail_sales,-6.7362096e-05
