feature,pinball_degradation
t10y2y_spread,2.0686304e-05
nonfarm_payrolls,1.1131866e-05
capacity_utilization,4.1085295e-06
industrial_production,3.8871076e-06
hy_ccc_spread,3.541354e-06
housing_starts,1.7604325e-06
consumer_confidence,1.139706e-06
pce_price_index,9.476207e-08
returns,-2.779998e-07
unemployment_rate,-2.8382055e-07
durable_orders,-3.988389e-07
retail_sales,-1.3397075e-06
t10y3m_spread,-1.5443657e-06
epu_index,-3.630761e-06
building_permits,-9.590993e-06
fed_funds,-1.0556309e-05
corp_bond_spread,-1.1449214e-05
