feature,pinball_degradation
retail_sales,0.0071223844
consumer_confidence,0.0019497927
epu_index,0.0010719784
hy_ccc_spread,0.0010044761
t10y3m_spread,0.00088286214
fed_funds,0.00074815936
durable_orders,0.00029590167
nonfarm_payrolls,-9.703264e-05
returns,-0.000103369355
t10y2y_spread,-0.00020629913
housing_starts,-0.00021417625
unemployment_rate,-0.000759488
building_permits,-0.0007774364
corp_bond_spread,-0.0007788185
pce_price_index,-0.0021539796
capacity_utilization,-0.004209373
industrial_production,-0.0045656795
