feature,pinball_degradation
housing_starts,0.0001023158
t10y2y_spread,8.733501e-05
industrial_production,7.609301e-05
corp_bond_spread,3.833766e-05
pce_price_index,3.744033e-05
durable_orders,3.4094555e-05
retail_sales,2.0186184e-05
fed_funds,1.7935177e-05
t10y3m_spread,1.47193205e-05
consumer_confidence,1.4474383e-05
nonfarm_payrolls,1.2676464e-05
epu_index,1.206412e-05
hy_ccc_spread,5.1341485e-06
returns,2.691988e-06
capacity_utilization,2.5057234e-06
unemployment_rate,-6.1611645e-06
building_permits,-6.8552326e-06
