feature,pinball_degradation
building_permits,7.068971e-05
industrial_production,6.930763e-05
hy_ccc_spread,5.311449e-05
capacity_utilization,5.1636714e-05
housing_starts,3.9457576e-05
t10y3m_spread,3.9141858e-05
epu_index,3.1693373e-05
fed_funds,2.9239105e-05
t10y2y_spread,1.8741935e-05
durable_orders,1.1959113e-05
returns,7.396564e-06
unemployment_rate,6.715767e-06
nonfarm_payrolls,-5.0337985e-07
consumer_confidence,-3.2205135e-06
corp_bond_spread,-2.4794135e-05
retail_sales,-4.228251e-05
pce_price_index,-5.265302e-05
