feature,pinball_degradation
nonfarm_payrolls,0.0001190668
fed_funds,5.2359886e-05
unemployment_rate,2.2348017e-05
epu_index,6.572809e-06
hy_ccc_spread,4.8950315e-06
building_permits,3.863126e-06
housing_starts,3.3713877e-06
pce_price_index,2.6994385e-06
returns,1.0426156e-06
t10y3m_spread,-5.8999285e-06
corp_bond_spread,-8.600764e-06
retail_sales,-1.2745149e-05
capacity_utilization,-2.1970365e-05
consumer_confidence,-3.0382536e-05
industrial_production,-3.598351e-05
durable_orders,-6.5576285e-05
t10y2y_spread,-6.745383e-05
