feature,pinball_degradation
housing_starts,0.00024176016
building_permits,0.00019411335
fed_funds,0.00018881797
corp_bond_spread,0.00011901918
hy_ccc_spread,9.8192366e-05
unemployment_rate,9.752647e-05
epu_index,2.5741523e-05
capacity_utilization,1.3628742e-05
industrial_production,9.71579e-06
nonfarm_payrolls,7.911702e-06
pce_price_index,4.6176137e-06
durable_orders,3.8441503e-06
returns,3.3370452e-06
t10y2y_spread,-8.082716e-07
t10y3m_spread,-5.8959704e-06
consumer_confidence,-2.792885e-05
retail_sales,-5.149294e-05
