feature,pinball_degradation
housing_starts,0.00015018065
hy_ccc_spread,0.00014027883
industrial_production,0.000113409245
durable_orders,0.000100122066
pce_price_index,7.848535e-05
capacity_utilization,6.207661e-05
t10y3m_spread,5.788938e-05
building_permits,4.940247e-05
epu_index,4.6485104e-05
corp_bond_spread,2.8454931e-05
consumer_confidence,2.3502158e-05
t10y2y_spread,8.87271e-06
retail_sales,7.958151e-06
fed_funds,-5.943468e-06
nonfarm_payrolls,-7.675728e-06
unemployment_rate,-8.623814e-06
returns,-1.1440134e-05
