feature,pinball_degradation
t10y3m_spread,0.0010206038
hy_ccc_spread,0.00085907476
retail_sales,0.0004965742
durable_orders,0.0003943937
pce_price_index,0.00019248715
industrial_production,0.0001857141
epu_index,8.420553e-05
housing_starts,5.8590434e-05
returns,4.618382e-05
building_permits,3.2474753e-05
fed_funds,-2.487516e-05
t10y2y_spread,-4.6659727e-05
unemployment_rate,-7.6488126e-05
consumer_confidence,-0.00010639196
nonfarm_payrolls,-0.00013732025
corp_bond_spread,-0.00016768603
capacity_utilization,-0.0002301638
