feature,pinball_degradation
capacity_utilization,4.7465786e-05
consumer_confidence,4.6185218e-05
unemployment_rate,3.9000064e-05
t10y3m_spread,3.1192787e-05
t10y2y_spread,1.9508414e-05
pce_price_index,1.9246247e-05
fed_funds,1.9020401e-05
industrial_production,1.7028302e-05
corp_bond_spread,1.5630387e-05
building_permits,1.05495565e-05
returns,8.953735e-06
nonfarm_payrolls,7.740222e-06
retail_sales,-2.4288893e-06
hy_ccc_spread,-3.8431026e-06
durable_orders,-2.05338e-05
housing_starts,-3.434345e-05
epu_index,-3.6331825e-05
