feature,pinball_degradation
durable_orders,1.5595928e-05
epu_index,1.559034e-05
consumer_confidence,1.0931864e-05
t10y3m_spread,1.0043383e-05
capacity_utilization,6.2230974e-06
building_permits,4.1816384e-06
unemployment_rate,2.1252781e-06
industrial_production,1.3578683e-06
returns,1.1175871e-06
nonfarm_payrolls,-6.631017e-07
fed_funds,-2.335757e-06
housing_starts,-6.3069165e-06
corp_bond_spread,-6.331131e-06
retail_sales,-7.0929527e-06
pce_price_index,-8.745119e-06
t10y2y_spread,-1.34035945e-05
hy_ccc_spread,-1.3647601e-05
