feature,pinball_degradation
building_permits,2.824422e-05
epu_index,2.551917e-05
housing_starts,1.4893711e-05
unemployment_rate,1.1092983e-05
corp_bond_spread,9.3383715e-06
retail_sales,5.695969e-06
fed_funds,1.5832484e-08
returns,-1.1390075e-06
pce_price_index,-1.6279519e-06
consumer_confidence,-5.90086e-06
hy_ccc_spread,-7.661991e-06
durable_orders,-7.909723e-06
industrial_production,-7.955357e-06
capacity_utilization,-1.0265969e-05
nonfarm_payrolls,-1.8819235e-05
t10y2y_spread,-1.9487925e-05
t10y3m_spread,-2.3345463e-05
