feature,pinball_degradation
pce_price_index,0.00018486008
t10y2y_spread,0.00016042218
capacity_utilization,8.1067905e-05
returns,2.2489578e-05
nonfarm_payrolls,-1.6869977e-05
t10y3m_spread,-3.8022175e-05
building_permits,-0.00017502531
housing_starts,-0.00018706918
retail_sales,-0.0002397187
epu_index,-0.0002699364
durable_orders,-0.0002865456
consumer_confidence,-0.0002987571
fed_funds,-0.00033288822
industrial_production,-0.0003912393
unemployment_rate,-0.00046382472
corp_bond_spread,-0.000947658
hy_ccc_spread,-0.0012384001
