feature,pinball_degradation
capacity_utilization,1.8461142e-05
epu_index,1.6982667e-05
corp_bond_spread,1.40634365e-05
building_permits,1.0801479e-05
housing_starts,3.893394e-06
returns,3.199093e-06
fed_funds,3.0566007e-06
pce_price_index,1.212582e-06
nonfarm_payrolls,2.9662624e-07
durable_orders,-8.8941306e-08
retail_sales,-1.8808059e-06
unemployment_rate,-3.5203993e-06
hy_ccc_spread,-3.9446168e-06
t10y3m_spread,-9.556301e-06
t10y2y_spread,-1.2376811e-05
consumer_confidence,-1.4561228e-05
industrial_production,-2.234755e-05
