feature,pinball_degradation
capacity_utilization,0.00017697271
durable_orders,0.00017190725
epu_index,4.5367517e-05
industrial_production,4.108902e-05
retail_sales,4.005339e-05
returns,1.547765e-05
fed_funds,-1.8985942e-05
building_permits,-4.0316954e-05
pce_price_index,-6.261747e-05
hy_ccc_spread,-9.097718e-05
t10y2y_spread,-0.00011577038
unemployment_rate,-0.00014009094
consumer_confidence,-0.00014127372
nonfarm_payrolls,-0.00015013106
t10y3m_spread,-0.00018515205
corp_bond_spread,-0.0002896688
housing_starts,-0.00035172375
