feature,pinball_degradation
fed_funds,0.00010052323
consumer_confidence,7.992517e-05
epu_index,6.8914145e-05
unemployment_rate,6.535649e-05
industrial_production,4.712213e-05
nonfarm_payrolls,3.8142316e-05
retail_sales,2.1877699e-05
pce_price_index,1.842156e-05
hy_ccc_spread,1.4148653e-05
corp_bond_spread,8.04197e-06
t10y2y_spread,6.441027e-06
building_permits,8.8475645e-08
capacity_utilization,-6.7427754e-07
returns,-1.3047829e-06
housing_starts,-3.663078e-05
t10y3m_spread,-4.294142e-05
durable_orders,-6.292295e-05
