feature,pinball_degradation
capacity_utilization,0.006229099
building_permits,0.002156251
retail_sales,0.0009337943
t10y2y_spread,0.0009236019
epu_index,0.0006429674
pce_price_index,0.00041194726
nonfarm_payrolls,0.0002235258
industrial_production,0.00017483346
corp_bond_spread,0.00011578761
returns,4.2526983e-05
fed_funds,3.8958155e-05
t10y3m_spread,-1.5982427e-05
consumer_confidence,-0.00013888441
durable_orders,-0.00014859531
hy_ccc_spread,-0.000263609
unemployment_rate,-0.00030098204
housing_starts,-0.0010013795
