feature,pinball_degradation
building_permits,2.757879e-05
housing_starts,1.4201738e-05
t10y3m_spread,-1.0430813e-06
unemployment_rate,-6.031245e-06
pce_price_index,-7.486902e-06
durable_orders,-9.955373e-06
t10y2y_spread,-1.510093e-05
capacity_utilization,-1.8414576e-05
epu_index,-2.3609493e-05
returns,-2.6178546e-05
industrial_production,-3.2386277e-05
retail_sales,-3.2886863e-05
consumer_confidence,-5.087303e-05
nonfarm_payrolls,-5.1724724e-05
corp_bond_spread,-5.9089623e-05
fed_funds,-6.1934814e-05
hy_ccc_spread,-7.7624805e-05
