feature,pinball_degradation
hy_ccc_spread,4.3956563e-05
corp_bond_spread,4.1794963e-05
consumer_confidence,1.9876286e-05
unemployment_rate,9.929761e-06
t10y2y_spread,8.338131e-06
durable_orders,6.8722293e-06
nonfarm_payrolls,5.445443e-06
industrial_production,3.7541613e-06
pce_price_index,2.558343e-06
returns,1.3429672e-06
retail_sales,1.5180558e-07
epu_index,-2.5890768e-07
t10y3m_spread,-3.6451966e-06
housing_starts,-7.341616e-06
fed_funds,-8.522533e-06
capacity_utilization,-8.766539e-06
building_permits,-1.6084872e-05
