feature,pinball_degradation
hy_ccc_spread,5.7944097e-05
corp_bond_spread,5.1966403e-05
consumer_confidence,2.1247659e-05
t10y2y_spread,2.1044165e-05
t10y3m_spread,1.7344952e-05
industrial_production,1.144968e-05
nonfarm_payrolls,6.0182065e-06
capacity_utilization,5.687587e-06
epu_index,4.198402e-06
durable_orders,2.827961e-06
pce_price_index,2.188608e-06
unemployment_rate,-5.438458e-06
returns,-7.6582655e-06
retail_sales,-9.6531585e-06
building_permits,-2.7023256e-05
fed_funds,-3.780471e-05
housing_starts,-4.1840598e-05
