feature,pinball_degradation
corp_bond_spread,4.075002e-05
epu_index,3.7077814e-05
t10y3m_spread,3.1747855e-05
hy_ccc_spread,2.989918e-05
consumer_confidence,2.6912428e-05
building_permits,2.4799258e-05
nonfarm_payrolls,2.3682602e-05
industrial_production,1.3074838e-05
unemployment_rate,7.6061115e-06
retail_sales,7.252209e-06
fed_funds,6.2286854e-06
pce_price_index,4.946254e-06
capacity_utilization,4.197471e-06
returns,-1.0523945e-07
housing_starts,-1.587905e-06
durable_orders,-1.8114224e-06
t10y2y_spread,-9.659678e-06
