feature,pinball_degradation
fed_funds,4.9078837e-05
durable_orders,3.53707e-05
consumer_confidence,1.9383617e-05
corp_bond_spread,1.3122335e-05
epu_index,8.168165e-06
hy_ccc_spread,3.2633543e-06
returns,-3.306195e-07
industrial_production,-5.3336844e-06
t10y3m_spread,-1.3338868e-05
retail_sales,-1.8119812e-05
capacity_utilization,-2.0419713e-05
nonfarm_payrolls,-2.563931e-05
unemployment_rate,-3.084028e-05
housing_starts,-3.5366043e-05
t10y2y_spread,-3.831135e-05
pce_price_index,-4.5127235e-05
building_permits,-9.8032644e-05
