feature,pinball_degradation
corp_bond_spread,3.7034974e-05
hy_ccc_spread,3.5918318e-05
epu_index,3.237091e-05
pce_price_index,1.7944723e-05
industrial_production,1.690723e-05
retail_sales,1.3388693e-05
t10y2y_spread,1.10939145e-05
t10y3m_spread,1.0786578e-05
building_permits,9.088777e-06
durable_orders,7.982366e-06
consumer_confidence,7.3863193e-06
unemployment_rate,6.4130872e-06
returns,3.6424026e-06
housing_starts,2.7436763e-06
capacity_utilization,-3.2009557e-06
nonfarm_payrolls,-1.14711e-05
fed_funds,-1.1806376e-05
