Date,Return,VaR,Breach,GARCH_VaR,LSTM_VaR
2011-01-03,0.011314828,-0.06656247,False,-0.009744494269442858,-0.018619508
2011-01-04,-0.0013130618,-0.06574311,False,-0.010550167045640012,-0.01846586
2011-01-05,0.00500717,-0.06572514,False,-0.010250987084111112,-0.018510126
2011-01-06,-0.0021229577,-0.0660166,False,-0.010161684908873106,-0.018403282
2011-01-07,-0.001844782,-0.06568589,False,-0.00990353548981584,-0.018407935
2011-01-10,-0.0013763271,-0.06549581,False,-0.00964785445307256,-0.01834624
2011-01-11,0.0037251273,-0.058482654,False,-0.009390502106892731,-0.017116731
2011-01-12,0.00900758,-0.058596842,False,-0.009255349296010705,-0.016583662
2011-01-13,-0.0017107462,-0.058349468,False,-0.009732593700373054,-0.016264208
2011-01-14,0.0073845424,-0.05784207,False,-0.009480619908326004,-0.016160008
2011-01-18,0.0013764106,-0.057956748,False,-0.009702252034508183,-0.01602022
2011-01-19,-0.010115655,-0.057881214,False,-0.009442424520349572,-0.015999954
2011-01-20,-0.0012949592,-0.058140732,False,-0.010077955293309035,-0.016058348
2011-01-21,0.0024135455,-0.057938524,False,-0.009799284414603903,-0.016000492
2011-01-24,0.0058362805,-0.058155425,False,-0.009569932288682833,-0.015967747
2011-01-25,0.00026346248,-0.058225222,False,-0.009604374239365034,-0.015946763
2011-01-26,0.004220907,-0.05826106,False,-0.009332445362737389,-0.015984245
2011-01-27,0.0022443058,-0.057833746,False,-0.009236861287637307,-0.015975602
2011-01-28,-0.017852526,-0.057996087,False,-0.009027971953007228,-0.01599804
2011-01-31,0.007662558,-0.057216458,False,-0.01145158981115135,-0.016171468
2011-02-01,0.016693598,-0.057187907,False,-0.011539860715845156,-0.016031783
2011-02-02,-0.0027225174,-0.057381608,False,-0.013128013169372114,-0.015979337
2011-02-03,0.002354199,-0.05726491,False,-0.01275731012343636,-0.016092503
2011-02-04,0.0028842625,-0.057309672,False,-0.012390236758953494,-0.016085794
2011-02-07,0.0062401714,-0.057554208,False,-0.01205875540985027,-0.016096268
