feature,pinball_degradation
capacity_utilization,5.0894916e-05
industrial_production,3.1605363e-05
unemployment_rate,1.7398968e-05
epu_index,1.4778227e-05
durable_orders,1.4493242e-05
retail_sales,8.186325e-06
hy_ccc_spread,4.14066e-06
corp_bond_spread,3.663823e-06
nonfarm_payrolls,3.606081e-06
pce_price_index,3.2745302e-06
returns,2.2482127e-06
t10y2y_spread,3.3527613e-08
t10y3m_spread,-4.455447e-06
building_permits,-3.680773e-05
fed_funds,-5.2222982e-05
consumer_confidence,-7.195212e-05
housing_starts,-9.121187e-05
