feature,pinball_degradation
unemployment_rate,0.00079200836
pce_price_index,0.00023974059
retail_sales,0.00017378805
industrial_production,9.047473e-05
durable_orders,8.409424e-05
nonfarm_payrolls,3.3463817e-05
epu_index,3.267266e-05
consumer_confidence,-9.229872e-06
capacity_utilization,-6.599771e-05
returns,-9.200303e-05
t10y2y_spread,-0.00026433053
fed_funds,-0.00080534234
housing_starts,-0.00081611914
building_permits,-0.00089702755
t10y3m_spread,-0.0014539228
hy_ccc_spread,-0.0016110588
corp_bond_spread,-0.0016785983
