feature,pinball_degradation
t10y3m_spread,3.652135e-05
hy_ccc_spread,3.3476856e-05
returns,8.566771e-06
industrial_production,4.4084154e-06
corp_bond_spread,2.8675422e-06
consumer_confidence,-1.7783605e-06
pce_price_index,-3.442634e-06
retail_sales,-5.7788566e-06
housing_starts,-6.9378875e-06
capacity_utilization,-8.797739e-06
unemployment_rate,-1.1712778e-05
nonfarm_payrolls,-1.7466955e-05
building_permits,-1.8736813e-05
t10y2y_spread,-1.884764e-05
durable_orders,-2.7352478e-05
fed_funds,-3.1621195e-05
epu_index,-3.276067e-05
