metric,param,spearman_rho,p_value,n
coverage_error,seq_length,-0.10540925533894598,0.7872404144981762,9
coverage_error,z_window,-0.2635231383473649,0.49325971044899664,9
breach_rate,seq_length,-0.10540925533894598,0.7872404144981762,9
breach_rate,z_window,-0.2635231383473649,0.49325971044899664,9
pinball,seq_length,-0.2635231383473649,0.49325971044899664,9
pinball,z_window,-0.15811388300841894,0.6845283355605285,9
cvar,seq_length,-0.2635231383473649,0.49325971044899664,9
cvar,z_window,-0.10540925533894598,0.7872404144981762,9
rmse,seq_length,0.05270462766947299,0.892879242924744,9
rmse,z_window,0.21081851067789195,0.5861141333812967,9
mae,seq_length,0.0,1.0,9
mae,z_window,0.3162277660168379,0.40708382206558924,9
brier,seq_length,-0.10540925533894598,0.7872404144981762,9
brier,z_window,-0.2635231383473649,0.49325971044899664,9
