metric,param,spearman_rho,p_value,n
coverage_error,seq_length,0.05270462766947299,0.892879242924744,9
coverage_error,z_window,0.6851601597031488,0.04167471235395344,9
breach_rate,seq_length,0.05270462766947299,0.892879242924744,9
breach_rate,z_window,0.6851601597031488,0.04167471235395344,9
pinball,seq_length,-0.4743416490252569,0.19702207215775067,9
pinball,z_window,0.5270462766947298,0.1448392555439479,9
cvar,seq_length,-0.05270462766947299,0.892879242924744,9
cvar,z_window,0.5797509043642028,0.10178621499687125,9
rmse,seq_length,-0.10540925533894598,0.7872404144981762,9
rmse,z_window,-0.6851601597031488,0.04167471235395344,9
mae,seq_length,-0.10540925533894598,0.7872404144981762,9
mae,z_window,-0.6851601597031488,0.04167471235395344,9
brier,seq_length,0.05270462766947299,0.892879242924744,9
brier,z_window,0.6851601597031488,0.04167471235395344,9
