metric,param,spearman_rho,p_value,n
coverage_error,seq_length,-0.21081851067789195,0.5861141333812967,9
coverage_error,z_window,0.6324555320336758,0.06758329382336997,9
breach_rate,seq_length,-0.21081851067789195,0.5861141333812967,9
breach_rate,z_window,0.6324555320336758,0.06758329382336997,9
pinball,seq_length,0.4743416490252569,0.19702207215775067,9
pinball,z_window,-0.4743416490252569,0.19702207215775067,9
cvar,seq_length,-0.2635231383473649,0.49325971044899664,9
cvar,z_window,0.3689323936863109,0.32853035182439455,9
rmse,seq_length,0.4743416490252569,0.19702207215775067,9
rmse,z_window,-0.5797509043642028,0.10178621499687125,9
mae,seq_length,0.4743416490252569,0.19702207215775067,9
mae,z_window,-0.5797509043642028,0.10178621499687125,9
brier,seq_length,-0.21081851067789195,0.5861141333812967,9
brier,z_window,0.6324555320336758,0.06758329382336997,9
