metric,param,spearman_rho,p_value,n
coverage_error,seq_length,0.05270462766947299,0.892879242924744,9
coverage_error,z_window,0.15811388300841894,0.6845283355605285,9
breach_rate,seq_length,0.05270462766947299,0.892879242924744,9
breach_rate,z_window,0.15811388300841894,0.6845283355605285,9
pinball,seq_length,0.15811388300841894,0.6845283355605285,9
pinball,z_window,-0.2635231383473649,0.49325971044899664,9
cvar,seq_length,-0.7559289460184545,0.030019745287544374,8
cvar,z_window,0.0629940788348712,0.8821982008249135,8
rmse,seq_length,0.10540925533894598,0.7872404144981762,9
rmse,z_window,-0.10540925533894598,0.7872404144981762,9
mae,seq_length,0.05270462766947299,0.892879242924744,9
mae,z_window,-0.15811388300841894,0.6845283355605285,9
brier,seq_length,0.05270462766947299,0.892879242924744,9
brier,z_window,0.15811388300841894,0.6845283355605285,9
