model,n_periods,coverage_error_mean,coverage_error_std,breach_rate_mean,breach_rate_std,cvar_mean,cvar_std,pinball_mean,pinball_std,rmse_mean,rmse_std,mae_mean,mae_std,kupiec_pass_rate,christoffersen_cc_pass_rate,group_dir,model_size_dir,head_dir,dashboard_scope,source_path
GARCH,72,0.0229922404686356,0.0123846420977214,0.0729922404686356,0.0123846420977214,-0.0300532297696917,0.0076593044227324,0.0018628529640031,0.0005034614823314,0.0308536650084912,0.0085729651122014,0.0241533868290834,0.0053021474587241,0.625,0.5,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/compare_summary.csv
LSTM,69,0.0231589263961998,0.0517585168818794,0.0731589263961998,0.0517585168818794,-0.035914152980812,0.0172772124236747,0.00636456107579,0.0084469845008515,0.132607875175882,0.2001031909573167,0.1085826277300931,0.1771630635919247,0.1884057971014492,0.2028985507246377,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/compare_summary.csv
Transformer,72,0.0532389064744798,0.2075896101957186,0.1032389064744798,0.2075896101957186,-0.0443976344007144,0.0433447454287813,0.0161604312969655,0.0384725800287482,0.1411201430795093,0.1502411908039362,0.1340384312206878,0.146804370141408,0.1527777777777778,0.1805555555555555,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/compare_summary.csv
GARCH,72,0.0229922404686356,0.0123846420977214,0.0729922404686356,0.0123846420977214,-0.0300532297696917,0.0076593044227324,0.0018628529640031,0.0005034614823314,0.0308536650084912,0.0085729651122014,0.0241533868290834,0.0053021474587241,0.625,0.5,base,base,last-token,head,outputs/runs_dashboard/base/base/last-token/compare_summary.csv
LSTM,69,0.0231589263961998,0.0517585168818794,0.0731589263961998,0.0517585168818794,-0.035914152980812,0.0172772124236747,0.00636456107579,0.0084469845008515,0.132607875175882,0.2001031909573167,0.1085826277300931,0.1771630635919247,0.1884057971014492,0.2028985507246377,base,base,last-token,head,outputs/runs_dashboard/base/base/last-token/compare_summary.csv
Transformer,72,0.0930094269420694,0.230148430646801,0.1430094269420694,0.230148430646801,-0.0269830972097873,0.0322435299480499,0.0239895081403017,0.0492249054585287,0.1926131504070427,0.2808792818161524,0.172058494347665,0.2501260340055104,0.1666666666666666,0.125,base,base,last-token,head,outputs/runs_dashboard/base/base/last-token/compare_summary.csv
GARCH,72,0.0229922404686356,0.0123846420977214,0.0729922404686356,0.0123846420977214,-0.0300532297696917,0.0076593044227324,0.0018628529640031,0.0005034614823314,0.0308536650084912,0.0085729651122014,0.0241533868290834,0.0053021474587241,0.625,0.5,big,base,cls-head,head,outputs/runs_dashboard/big/base/cls-head/compare_summary.csv
LSTM,69,0.0238441828640458,0.0507387279015522,0.0738441828640458,0.0507387279015523,-0.0365520704208927,0.0247486966732425,0.0054642091677321,0.0067249961115446,0.1130527892298456,0.1660337313265364,0.0906485361789447,0.1420381236232464,0.1014492753623188,0.1159420289855072,big,base,cls-head,head,outputs/runs_dashboard/big/base/cls-head/compare_summary.csv
Transformer,72,-0.0320331121435434,0.0614523586334264,0.0179668878564564,0.0614523586334264,-0.0805661420803516,0.0594860206902812,0.0114380682401436,0.0259728830240404,0.2267232939031803,0.5205170725223178,0.223602691380721,0.5210225737804016,0.0416666666666666,0.0138888888888888,big,base,cls-head,head,outputs/runs_dashboard/big/base/cls-head/compare_summary.csv
GARCH,72,0.0229922404686356,0.0123846420977214,0.0729922404686356,0.0123846420977214,-0.0300532297696917,0.0076593044227324,0.0018628529640031,0.0005034614823314,0.0308536650084912,0.0085729651122014,0.0241533868290834,0.0053021474587241,0.625,0.5,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/compare_summary.csv
LSTM,69,0.0238441828640458,0.0507387279015522,0.0738441828640458,0.0507387279015523,-0.0365520704208927,0.0247486966732425,0.0054642091677321,0.0067249961115446,0.1130527892298456,0.1660337313265364,0.0906485361789447,0.1420381236232464,0.1014492753623188,0.1159420289855072,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/compare_summary.csv
Transformer,72,0.0036927854538838,0.1378880702890314,0.0536927854538838,0.1378880702890314,-0.0539568434402238,0.0703033754841548,0.0115669073258888,0.0123351306755122,0.1953216735014898,0.233451890990757,0.1871293124018443,0.2271080710551886,0.0555555555555555,0.0138888888888888,big,base,last-token,head,outputs/runs_dashboard/big/base/last-token/compare_summary.csv
