metric,param,spearman_rho,p_value,n,group_dir,model_size_dir,head_dir,dashboard_scope,source_path
coverage_error,seq_length,-0.1054092553389459,0.7872404144981762,9,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/correlations_spearman.csv
coverage_error,z_window,-0.2635231383473649,0.4932597104489966,9,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/correlations_spearman.csv
breach_rate,seq_length,-0.1054092553389459,0.7872404144981762,9,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/correlations_spearman.csv
breach_rate,z_window,-0.2635231383473649,0.4932597104489966,9,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/correlations_spearman.csv
pinball,seq_length,-0.2635231383473649,0.4932597104489966,9,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/correlations_spearman.csv
pinball,z_window,-0.1581138830084189,0.6845283355605285,9,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/correlations_spearman.csv
cvar,seq_length,-0.2635231383473649,0.4932597104489966,9,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/correlations_spearman.csv
cvar,z_window,-0.1054092553389459,0.7872404144981762,9,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/correlations_spearman.csv
rmse,seq_length,0.0527046276694729,0.892879242924744,9,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/correlations_spearman.csv
rmse,z_window,0.2108185106778919,0.5861141333812967,9,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/correlations_spearman.csv
mae,seq_length,0.0,1.0,9,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/correlations_spearman.csv
mae,z_window,0.3162277660168379,0.4070838220655892,9,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/correlations_spearman.csv
brier,seq_length,-0.1054092553389459,0.7872404144981762,9,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/correlations_spearman.csv
brier,z_window,-0.2635231383473649,0.4932597104489966,9,base,base,cls-head,head,outputs/runs_dashboard/base/base/cls-head/correlations_spearman.csv
coverage_error,seq_length,0.0527046276694729,0.892879242924744,9,base,base,last-token,head,outputs/runs_dashboard/base/base/last-token/correlations_spearman.csv
coverage_error,z_window,0.6851601597031488,0.0416747123539534,9,base,base,last-token,head,outputs/runs_dashboard/base/base/last-token/correlations_spearman.csv
breach_rate,seq_length,0.0527046276694729,0.892879242924744,9,base,base,last-token,head,outputs/runs_dashboard/base/base/last-token/correlations_spearman.csv
breach_rate,z_window,0.6851601597031488,0.0416747123539534,9,base,base,last-token,head,outputs/runs_dashboard/base/base/last-token/correlations_spearman.csv
pinball,seq_length,-0.4743416490252569,0.1970220721577506,9,base,base,last-token,head,outputs/runs_dashboard/base/base/last-token/correlations_spearman.csv
pinball,z_window,0.5270462766947298,0.1448392555439479,9,base,base,last-token,head,outputs/runs_dashboard/base/base/last-token/correlations_spearman.csv
cvar,seq_length,-0.0527046276694729,0.892879242924744,9,base,base,last-token,head,outputs/runs_dashboard/base/base/last-token/correlations_spearman.csv
cvar,z_window,0.5797509043642028,0.1017862149968712,9,base,base,last-token,head,outputs/runs_dashboard/base/base/last-token/correlations_spearman.csv
rmse,seq_length,-0.1054092553389459,0.7872404144981762,9,base,base,last-token,head,outputs/runs_dashboard/base/base/last-token/correlations_spearman.csv
rmse,z_window,-0.6851601597031488,0.0416747123539534,9,base,base,last-token,head,outputs/runs_dashboard/base/base/last-token/correlations_spearman.csv
mae,seq_length,-0.1054092553389459,0.7872404144981762,9,base,base,last-token,head,outputs/runs_dashboard/base/base/last-token/correlations_spearman.csv
